Year,Status,Community Count
2011,Uninhabited,74
2011,Under One Thousand (100-999),180
2011,Under One Hundred (1-99),111
2011,Over One Thousand (1000+),77
2012,Uninhabited,76
2012,Under One Thousand (100-999),178
2012,Under One Hundred (1-99),110
2012,Over One Thousand (1000+),78
2013,Uninhabited,76
2013,Under One Thousand (100-999),178
2013,Under One Hundred (1-99),109
2013,Over One Thousand (1000+),78
2014,Uninhabited,76
2014,Under One Thousand (100-999),176
2014,Under One Hundred (1-99),110
2014,Over One Thousand (1000+),79
2015,Uninhabited,76
2015,Under One Thousand (100-999),176
2015,Under One Hundred (1-99),110
2015,Over One Thousand (1000+),79
2016,Uninhabited,73
2016,Under One Thousand (100-999),171
2016,Under One Hundred (1-99),117
2016,Over One Thousand (1000+),80
2017,Uninhabited,71
2017,Under One Thousand (100-999),175
2017,Under One Hundred (1-99),116
2017,Over One Thousand (1000+),76
2018,Uninhabited,71
2018,Under One Thousand (100-999),169
2018,Under One Hundred (1-99),119
2018,Over One Thousand (1000+),79
2019,Uninhabited,4
2019,Under One Thousand (100-999),168
2019,Under One Hundred (1-99),114
2019,Over One Thousand (1000+),68
2020,Uninhabited,77
2020,Under One Thousand (100-999),172
2020,Under One Hundred (1-99),116
2020,Over One Thousand (1000+),76
2021,Uninhabited,71
2021,Under One Thousand (100-999),174
2021,Under One Hundred (1-99),119
2021,Over One Thousand (1000+),75
